token,term_freq,doc_freq,category,canonical_form
오프,2198,1783,OTHER,오프
카운트,2190,1480,OTHER,카운트
유니폼브릿지,2185,1864,BRAND,유니폼브릿지
한국,2181,1689,OTHER,한국
조셉,2179,1902,BRAND,조셉앤스테이시
국내,2173,1754,OTHER,국내
바람막이,2170,1694,ITEM,바람막이
엔,2148,1341,OTHER,엔
걱정,2148,2014,OTHER,걱정
영상,2137,1777,OTHER,영상
상태,2133,1846,OTHER,상태
자,2131,1837,OTHER,자
퀄리티,2127,1722,OTHER,퀄리티
프로,2127,1742,OTHER,프로
ss,2117,1514,STYLE,ss
셋 업,2117,1601,ITEM,셋업
모습,2114,1029,OTHER,모습
끝,2113,1942,OTHER,끝
니,2105,1852,OTHER,니
카키,2103,1605,STYLE,카키
몬스터,2096,1883,BRAND,젠틀몬스터
따뜻,2088,1838,STYLE,따뜻
광고,2088,1264,OTHER,광고
존재,2084,864,OTHER,존재
불편,2084,1835,OTHER,불편
밀,2080,1701,OTHER,밀
드로우핏,2078,1792,BRAND,드로우핏
슈,2072,1920,OTHER,슈
스웨이드,2065,1538,STYLE,스웨이드
랄프 로렌,2062,1480,BRAND,랄프로렌
fw,2058,1506,STYLE,fw
첼시,2051,1694,ITEM,첼시부츠
롱,2047,1692,STYLE,롱
스웻,2045,1526,ITEM,스웻
기억,2040,1699,OTHER,기억
피드백,2037,1974,OTHER,피드백
운동,2030,1730,OTHER,운동
오어슬로우,2028,1399,BRAND,오어슬로우
체형,2017,1723,OTHER,체형
린,2015,1652,OTHER,린
목걸이,2014,1749,ITEM,목걸이
조심,2012,1933,OTHER,조심
부담,2010,1856,OTHER,부담
궁금,2005,1906,OTHER,궁금
펜,1996,1807,OTHER,펜
게시판,1990,1943,OTHER,게시판
척,1989,1800,OTHER,척
세미,1989,1753,STYLE,세미
토니웩,1984,1510,BRAND,토니웩
두께,1977,1606,OTHER,두께
삭제,1973,1906,OTHER,삭제
자라,1969,1689,BRAND,자라
패턴,1965,1399,OTHER,패턴
문제,1962,1577,OTHER,문제
벌,1959,1500,OTHER,벌
체크,1959,1483,STYLE,체크
아이,1957,1488,OTHER,아이
조,1951,1689,OTHER,조
르,1950,1635,OTHER,르
다크,1950,1520,STYLE,다크
구두,1943,1391,ITEM,구두
아크테릭스,1925,1467,BRAND,아크테릭스
후드티,1922,1577,ITEM,후드티
프로젝트,1921,1535,OTHER,프로젝트
플랙,1917,1614,BRAND,플랙
양말,1916,1384,ITEM,양말
스니커즈,1911,1579,ITEM,스니커즈
나름,1911,1759,OTHER,나름
악세사리,1906,1851,ITEM,악세사리
파,1902,1573,OTHER,파
세,1900,1747,OTHER,세
제로,1899,1747,OTHER,제로
적당,1899,1688,OTHER,적당
코스,1892,1504,BRAND,코스
인기,1890,1590,OTHER,인기
vs,1885,1666,OTHER,vs
레더,1881,1464,STYLE,레더
명,1874,1504,OTHER,명
검,1872,1460,OTHER,검
올리브,1870,1415,STYLE,올리브
맨,1869,1477,OTHER,맨
너,1868,1607,OTHER,너
비교,1867,1568,OTHER,비교
기대,1865,1713,OTHER,기대
벨리,1858,1263,OTHER,벨리
길,1858,1523,OTHER,길
방향,1857,1787,OTHER,방향
택,1857,1406,OTHER,택
통,1853,1465,OTHER,통
무신,1845,1652,OTHER,무신사
메이드,1841,1526,STYLE,메이드
식,1839,1736,OTHER,식
요청,1837,1740,OTHER,요청
상,1825,1525,OTHER,상
세컨,1825,1613,OTHER,세컨
장만,1821,1776,OTHER,장만
콜,1819,1373,OTHER,콜
mmrb,1814,1517,BRAND,mmrb
몸,1813,1617,OTHER,몸
도움,1812,1624,OTHER,도움
조언,1811,1690,OTHER,조언
씨,1809,1404,OTHER,씨
이미지,1804,853,OTHER,이미지
머플러,1803,1338,ITEM,머플러
애매,1803,1672,OTHER,애매
타,1799,1478,OTHER,타
된장,1792,1572,OTHER,된장
인스타그램,1787,1745,OTHER,인스타그램
작성,1786,1639,OTHER,작성
어,1782,1611,OTHER,어
직업,1781,1756,OTHER,직업
해칭룸,1780,1170,BRAND,해칭룸
신,1771,1560,OTHER,신
복수,1769,1621,OTHER,복수
lvc,1768,1208,BRAND,리바이스
리뷰,1766,1369,OTHER,리뷰
젤,1761,1509,OTHER,젤
출근,1755,1484,OTHER,출근
포,1753,1478,OTHER,포
클럽,1752,1425,OTHER,클럽
온라인,1749,1381,OTHER,온라인
면,1745,1489,OTHER,면
엑스,1745,1496,OTHER,엑스
흑,1744,1426,OTHER,흑
버핏,1735,1493,STYLE,오버핏
검색,1735,1556,OTHER,검색
에스,1730,1471,OTHER,에스
재고,1729,1425,OTHER,재고
에스피오나지,1728,1473,BRAND,에스피오나지
앤,1727,1420,OTHER,앤
지갑,1727,1226,ITEM,지갑
화,1725,1517,OTHER,화
반품,1724,1275,OTHER,반품
팀버랜드,1714,1484,BRAND,팀버랜드
투,1713,1423,OTHER,투
동안,1710,1582,OTHER,동안
로,1707,1511,OTHER,로
하우스,1702,1244,OTHER,하우스
필드,1701,1315,OTHER,필드
최고,1697,1519,OTHER,최고
호,1690,1242,OTHER,호
팔찌,1689,1381,ITEM,팔찌
사이,1687,1544,OTHER,사이
방법,1684,1414,OTHER,방법
기존,1682,1443,OTHER,기존
이스트,1682,1310,OTHER,이스트
출시,1681,1309,OTHER,출시
커버,1676,1458,OTHER,커버
킹,1674,957,OTHER,킹
가든,1671,1448,OTHER,가든
르메르,1670,846,BRAND,르메르
비지,1658,1253,OTHER,비지
적,1657,1559,OTHER,적
가격대,1651,1535,OTHER,가격대
경험,1650,1389,OTHER,경험
입고,1646,1459,OTHER,입고
독일군,1644,1415,ITEM,독일군스니커즈
스트라이프,1642,1242,STYLE,스트라이프
숏,1637,1233,STYLE,숏
컨텐츠,1636,1610,OTHER,컨텐츠
마무리,1635,1440,OTHER,마무리
천,1635,1291,OTHER,천
양식,1631,893,OTHER,양식
선글라스,1630,1374,ITEM,선글라스
카테고리,1628,1566,OTHER,카테고리
워,1627,1304,OTHER,워
원래,1622,1566,OTHER,원래
클락,1614,1439,BRAND,클락스
속,1613,1407,OTHER,속
탑,1612,1322,ITEM,상의
주머니,1611,1165,OTHER,주머니
공유,1609,1503,OTHER,공유
직원,1607,1214,OTHER,직원
도쿄,1603,1118,OTHER,도쿄
포함,1602,1493,OTHER,포함
물,1600,1243,OTHER,물
배,1598,1394,OTHER,배
보유,1598,1461,OTHER,보유
구분,1597,1553,OTHER,구분
w,1597,1169,OTHER,w
레이,1588,1389,OTHER,레이
킨치,1587,1303,BRAND,킨치
결제,1586,1187,OTHER,결제
복,1582,1346,OTHER,복
캐피탈,1577,918,BRAND,캐피탈
유스,1575,1026,BRAND,유스
반팔티,1571,1365,ITEM,반팔티
에이,1568,1336,OTHER,에이
행복,1566,1434,OTHER,행복
브론슨,1566,1050,BRAND,브론슨
현대,1561,1199,OTHER,현대
회,1555,964,OTHER,회
트리,1553,1319,OTHER,트리
마르지,1550,1291,BRAND,메종마르지엘라
교환,1550,1123,OTHER,교환
핑크,1549,1168,STYLE,핑크
운동화,1548,1327,ITEM,운동화
옆,1547,1368,OTHER,옆
도프,1545,1381,BRAND,도프제이슨
cos,1545,1009,BRAND,코스
고급,1538,1151,STYLE,고급
총장,1522,1114,OTHER,총장
올,1521,1334,OTHER,올
제이슨,1518,1362,BRAND,도프제이슨
카드,1518,1163,OTHER,카드
black,1505,1010,STYLE,블랙
준비,1501,1280,OTHER,준비
에러,1500,1158,BRAND,아더에러
미국,1492,1007,OTHER,미국
시티,1490,1238,OTHER,시티
엠,1490,1149,OTHER,엠
취향,1489,1292,OTHER,취향
년대,1485,647,OTHER,년대
스톤,1480,1162,BRAND,스톤아일랜드
문의,1476,1244,OTHER,문의
발견,1475,1378,OTHER,발견
인증,1473,1437,OTHER,인증
색깔,1472,1337,OTHER,색깔
