token,term_freq,doc_freq,category,canonical_form
해외,1183,987,,
휴먼,1183,964,,
뉴발,1181,1085,,
덕,1179,984,,
활동,1177,929,,
간,1177,1060,,
바버,1177,790,,
당첨,1175,1006,,
자신,1171,779,,
크롭,1171,967,,
중고,1168,989,,
존,1159,964,,
탭,1159,789,,
으,1159,1101,,
백화점,1159,900,,
중요,1157,834,,
언,1157,1063,,
관련,1155,1045,,
다리,1155,987,,
c,1153,880,,
생일,1153,963,,
블랭크,1152,931,,
하프,1152,884,,
정장,1152,772,,
오라,1150,799,,
신상,1147,1015,,
제,1147,1086,,
그것,1144,993,,
실측,1144,921,,
jacket,1143,771,,
왼쪽,1143,977,,
알렌,1142,943,,
대부분,1141,1060,,
번호,1141,853,,
스파,1141,1013,,
바람,1139,1059,,
힙,1139,1031,,
b,1136,698,,
만큼,1130,1017,,
읏,1130,1076,,
사라,1122,1004,,
녀석,1122,812,,
디키즈,1121,898,,
아더,1120,887,,
기,1119,1015,,
버전,1116,832,,
부산,1115,822,,
포기,1113,1048,,
재킷,1113,655,,
비바,1112,1012,,
고수,1112,1079,,
안쪽,1110,903,,
일상,1109,968,,
이지,1108,980,,
정품,1108,908,,
부,1104,853,,
굿,1101,846,,
워커,1100,980,,
분위기,1098,919,,
스포츠,1095,870,,
오리지널,1093,817,,
플랜,1092,941,,
크로스,1089,918,,
리브,1087,911,,
틀,1086,1000,,
와일드,1086,1000,,
앱,1086,917,,
네이버,1083,905,,
이후,1080,918,,
r,1079,858,,
위주,1078,1006,,
폼,1077,966,,
제외,1074,996,,
나중,1072,1017,,
바시티,1071,876,,
향,1071,430,,
계절,1070,984,,
shoes,1070,447,,
or,1065,932,,
요거,1064,986,,
몇,1063,1042,,
the,1062,613,,
bag,1062,841,,
루,1062,733,,
말씀,1062,944,,
d,1061,811,,
관리,1058,868,,
스티치,1057,778,,
그,1053,745,,
싱글,1052,769,,
얼굴,1049,889,,
포장,1048,657,,
프라다,1044,790,,
넉넉,1043,950,,
왈라비,1040,899,,
다,1040,1027,,
이것저것,1039,971,,
웨이,1038,830,,
수축,1038,733,,
리넥츠,1036,731,,
학생,1035,978,,
롤,1034,782,,
안감,1032,782,,
f,1031,760,,
슬리퍼,1031,803,,
형태,1028,798,,
사랑,1027,903,,
대체,1027,946,,
미나브,1025,910,,
버스,1024,821,,
금,1023,861,,
근처,1022,905,,
주름,1022,790,,
p,1022,821,,
보리,1022,725,,
생,1019,875,,
오더,1017,966,,
레귤러,1017,833,,
박,1011,897,,
범용,1007,946,,
기어,1004,790,,
퍼플,1002,775,,
샌들,1002,770,,
패치,998,734,,
나나미카,994,657,,
버뮤다,993,843,,
mmgl,992,878,,
북,989,859,,
플로어,989,838,,
제공,987,746,,
적용,986,771,,
불,986,852,,
mm,983,626,,
직구,983,781,,
여성,982,787,,
출처,982,785,,
처리,981,777,,
핑,981,839,,
휴가,980,804,,
서,978,847,,
