YEAR,TOKEN_TYPE,token,count,share
2023,BRAND,메종키츠네,135,0.11567826019896661
2023,BRAND,모드나인,1524,1.305879026246112
2023,BRAND,모스콧,200,0.17137520029476536
2023,BRAND,모이프,304,0.26049030444804333
2023,BRAND,몽벨,64,0.05484006409432491
2023,BRAND,무신사,154,0.13195890422696932
2023,BRAND,무인양품,33,0.028276908048636286
2023,BRAND,무탠다드,2298,1.9691010513868537
2023,BRAND,문선,186,0.15937893627413177
2023,BRAND,미나브,325,0.27848470047899365
2023,BRAND,미하라야스히로,1363,1.1679219900088258
2023,BRAND,밈더워드로브,495,0.42415362072954427
2023,BRAND,바라쿠타,100,0.08568760014738268
2023,BRAND,바버,315,0.26991594046425543
2023,BRAND,반스,2200,1.8851272032424187
2023,BRAND,발렌시아가,2309,1.978526687403066
2023,BRAND,버버리,97,0.08311697214296118
2023,BRAND,버윅,44,0.037702544064848374
2023,BRAND,버즈릭슨,154,0.13195890422696932
2023,BRAND,버켄스탁,227,0.19451085233455867
2023,BRAND,베이프,175,0.14995330025791967
2023,BRAND,보테가베네타,239,0.2047933643522446
2023,BRAND,브라운야드,566,0.48499181683418596
2023,BRAND,브랜디드,1011,0.8663016374900387
2023,BRAND,브론슨,144,0.12339014421223105
2023,BRAND,브룩스브라더스,379,0.32475600455858034
2023,BRAND,블랭크룸,477,0.4087298527030154
2023,BRAND,비긴202,257,0.22021713237877347
2023,BRAND,비바스튜디오,410,0.351319160604269
2023,BRAND,비얼디드키드,189,0.16194956427855325
2023,BRAND,비이커,85,0.07283446012527527
2023,BRAND,빔즈,206,0.17651645630360832
2023,BRAND,사카이,79,0.06769320411643232
2023,BRAND,생로랑,277,0.23735465240825
2023,BRAND,샤카웨어,280,0.2399252804126715
2023,BRAND,세인트제임스,267,0.22878589239351174
2023,BRAND,세터,1153,0.9879780296993222
2023,BRAND,소니,210,0.1799439603095036
2023,BRAND,솔리드옴므,145,0.12424702021370487
2023,BRAND,수아레,589,0.5046999648680839
2023,BRAND,슈펜,250,0.2142190003684567
2023,BRAND,슈프림,1345,1.152498221982297
2023,BRAND,스캇,272,0.23307027240088088
2023,BRAND,스톤아일랜드,444,0.38045294465437907
2023,BRAND,스투시,1965,1.6837613428960694
2023,BRAND,스튜디오니콜슨,154,0.13195890422696932
2023,BRAND,아노블리어,152,0.13024515222402167
2023,BRAND,아더에러,1486,1.2733177381901064
2023,BRAND,아디다스,4179,3.5808848101591217
2023,BRAND,아르켓,143,0.12253326821075722
2023,BRAND,아미,215,0.18422834031687274
2023,BRAND,아스토플렉스,112,0.0959701121650686
2023,BRAND,아식스,3200,2.7420032047162457
2023,BRAND,아워레가시,929,0.796037805369185
2023,BRAND,아워셀브스,61,0.05226943608990343
2023,BRAND,아워스코프,213,0.18251458831392509
2023,BRAND,아이언레인저,201,0.17223207629623916
2023,BRAND,아크테릭스,954,0.8174597054060307
2023,BRAND,아트이프액츠,277,0.23735465240825
2023,BRAND,아페쎄,258,0.2210740083802473
2023,BRAND,아프레쎄,42,0.03598879206190072
2023,BRAND,안데르센,211,0.18080083631097743
2023,BRAND,알렌느,553,0.47385242881502615
2023,BRAND,애쉬크로프트,339,0.29048096449962724
2023,BRAND,애프터프레이,1492,1.2784589941989495
2023,BRAND,애플,623,0.5338337489181941
2023,BRAND,앤더슨벨,1571,1.3461521983153817
2023,BRAND,어나더오피스,325,0.27848470047899365
2023,BRAND,어널러코드,244,0.2090777443596137
2023,BRAND,언더마이카,230,0.19708148033898013
2023,BRAND,언타이틀,132,0.11310763219454514
2023,BRAND,에센셜,147,0.12596077221665253
2023,BRAND,에스티유오피스,540,0.46271304079586645
2023,BRAND,에스피오나지,944,0.8088909453912925
2023,BRAND,엑슬림,96,0.08226009614148737
2023,BRAND,예일,155,0.13281578022844312
2023,BRAND,오가프,168,0.14395516824760288
2023,BRAND,오어슬로우,1346,1.1533550979837708
2023,BRAND,오클리,209,0.17908708430802978
2023,BRAND,와일드브릭스,282,0.24163903241561915
2023,BRAND,요시다포터,144,0.12339014421223105
2023,BRAND,우영미,272,0.23307027240088088
2023,BRAND,우포스,246,0.21079149636256136
2023,BRAND,웨이비니스,174,0.14909642425644584
2023,BRAND,위더로드,254,0.21764650437435198
2023,BRAND,위캔더스,160,0.13710016023581229
2023,BRAND,유니온,1153,0.9879780296993222
2023,BRAND,유니클로,3385,2.9005252649889033
2023,BRAND,유니폼브릿지,1158,0.9922624097066913
2023,BRAND,유스,578,0.49527432885187184
2023,BRAND,이얼즈어고,133,0.11396450819601896
2023,BRAND,이지,390,0.3341816405747924
2023,BRAND,인세인개러지,863,0.7394839892719125
2023,BRAND,일꼬르소,246,0.21079149636256136
2023,BRAND,자라,801,0.6863576771805352
2023,BRAND,자바나스,1159,0.9931192857081652
2023,BRAND,젠틀몬스터,1335,1.1439294619675586
2023,BRAND,조던,1589,1.3615759663419107
