token,count,share,SOURCE,TOKEN_TYPE,total_share,delta,COMMUNITY
젠틀몬스터,1591,1.2456059313076906,ZZ,BRAND,1.0230720566020683,0.22253387470562225,Z9DY
조던,1576,1.2338623178761283,ZZ,BRAND,1.4772829974307,-0.2434206795545717,Z9DY
조셉앤스테이시,1304,1.0209114609838017,ZZ,BRAND,0.6039791873781519,0.4169322736056498,Z9DY
주앙옴므,1618,1.2667444354845023,ZZ,BRAND,0.9277884652628046,0.33895597022169777,Z9DY
지샥,219,0.17145675610080718,ZZ,BRAND,0.14976824654952037,0.021688509551286816,Z9DY
지오다노,246,0.19259526027761903,ZZ,BRAND,0.19056718267852762,0.0020280775990914046,Z9DY
챔피온,129,0.10099507551143436,ZZ,BRAND,0.1934076149406737,-0.09241253942923935,Z9DY
카시오,520,0.40711193229415404,ZZ,BRAND,0.3684815307347682,0.03863040155938585,Z9DY
칼하트wip,147,0.11508741162930891,ZZ,BRAND,0.18462809703949493,-0.06954068541018602,Z9DY
캐피탈,254,0.19885852077445215,ZZ,BRAND,0.5169586717105857,-0.3181001509361336,Z9DY
캡틴선샤인,12,0.009394890745249709,ZZ,BRAND,0.20580222844822021,-0.1964073377029705,Z9DY
컨버스,2401,1.879761056612046,ZZ,BRAND,1.81865131111771,0.0611097454943359,Z9DY
코스,1671,1.308238536276022,ZZ,BRAND,1.0047383574554891,0.30350017882053293,Z9DY
쿠어,2775,2.1725684848389952,ZZ,BRAND,1.2154467870837797,0.9571216977552155,Z9DY
크롬하츠,364,0.2849783526059078,ZZ,BRAND,0.29747072418111625,-0.012492371575208439,Z9DY
클락스,596,0.4666129070140688,ZZ,BRAND,0.5378745820045705,-0.07126167499050168,Z9DY
키뮤어,454,0.35544003319528067,ZZ,BRAND,0.2706157282480989,0.0848243049471818,Z9DY
키스,62,0.04854026885045683,ZZ,BRAND,0.10638709927310756,-0.057846830422650736,Z9DY
키코,154,0.12056776456403794,ZZ,BRAND,0.16784372458135902,-0.04727596001732108,Z9DY
킨치,747,0.5848319488917944,ZZ,BRAND,0.42942171381353855,0.1554102350782558,Z9DY
테켓,326,0.2552278652459504,ZZ,BRAND,0.16293752340128853,0.0922903418446619,Z9DY
토니웩,1879,1.4710833091936835,ZZ,BRAND,0.683511290718242,0.7875720184754414,Z9DY
토피,478,0.37422981468578004,ZZ,BRAND,0.3563451383419622,0.01788467634381785,Z9DY
톰브라운,171,0.13387719311980834,ZZ,BRAND,0.15777310110647746,-0.02389590798666913,Z9DY
팀버랜드,576,0.450954755771986,ZZ,BRAND,0.5469123210204899,-0.0959575652485039,Z9DY
파라부트,30,0.023487226863124273,ZZ,BRAND,0.1918582882522304,-0.16837106138910612,Z9DY
파르티멘토,321,0.25131332743542967,ZZ,BRAND,0.28714187959149423,-0.035828552156064564,Z9DY
파타고니아,156,0.12213357968824622,ZZ,BRAND,0.24350251120034086,-0.12136893151209464,Z9DY
팔라스,126,0.09864635282512194,ZZ,BRAND,0.1549326688443314,-0.05628631601920947,Z9DY
페몬트,401,0.31394593240376106,ZZ,BRAND,0.2117413140872529,0.10220461831650815,Z9DY
페이탈리즘,667,0.522199343923463,ZZ,BRAND,0.3550540327682595,0.16714531115520354,Z9DY
포터,1024,0.8016973435946418,ZZ,BRAND,1.307631725046157,-0.5059343814515153,Z9DY
포터리,175,0.1370088233682249,ZZ,BRAND,0.22645991762746442,-0.08945109425923953,Z9DY
포트너스,378,0.2959390584753658,ZZ,BRAND,0.1934076149406737,0.10253144353469207,Z9DY
폴로,1734,1.3575617126885828,ZZ,BRAND,2.6013195098963244,-1.2437577972077416,Z9DY
푸마,266,0.20825341151970186,ZZ,BRAND,0.28326856287038593,-0.07501515135068407,Z9DY
프라다,491,0.3844076129931339,ZZ,BRAND,0.303409809820149,0.08099780317298494,Z9DY
