SEASON_YEAR,YEAR,SEASON,TOKEN_TYPE,token,count,share
2022-Fall,2022,Fall,BRAND,프리즘웍스,251,0.5896725085749189
2022-Fall,2022,Fall,BRAND,플랙,460,1.08067471691021
2022-Fall,2022,Fall,BRAND,해칭룸,218,0.5121458441009257
2022-Fall,2022,Fall,BRAND,헤리티지플로스,89,0.20908706479349717
2022-Fall,2022,Fall,BRAND,헤지스,58,0.1362589860452004
2022-Fall,2022,Fall,BRAND,호카,20,0.046985857256965656
2022-Fall,2022,Fall,BRAND,휴먼메이드,50,0.11746464314241413
2022-Spring,2022,Spring,BRAND,acg,40,0.07866892184242615
2022-Spring,2022,Spring,BRAND,cp컴퍼니,39,0.0767021987963655
2022-Spring,2022,Spring,BRAND,etce,465,0.9145262164182041
2022-Spring,2022,Spring,BRAND,jw앤더슨,40,0.07866892184242615
2022-Spring,2022,Spring,BRAND,lee,95,0.1868386893757621
2022-Spring,2022,Spring,BRAND,lmc,152,0.29894190300121937
2022-Spring,2022,Spring,BRAND,mlb,188,0.3697439326594029
2022-Spring,2022,Spring,BRAND,mmgl,265,0.5211816072060732
2022-Spring,2022,Spring,BRAND,mmrb,500,0.9833615230303269
2022-Spring,2022,Spring,BRAND,mngu,119,0.2340400424812178
2022-Spring,2022,Spring,BRAND,new,76,0.14947095150060968
2022-Spring,2022,Spring,BRAND,oam,363,0.7139204657200173
2022-Spring,2022,Spring,BRAND,rrl,136,0.26747433426424894
2022-Spring,2022,Spring,BRAND,ymclky,30,0.05900169138181961
2022-Spring,2022,Spring,BRAND,구찌,187,0.36777720961334226
2022-Spring,2022,Spring,BRAND,굿라이프웍스,36,0.07080202965818354
2022-Spring,2022,Spring,BRAND,그라더스,30,0.05900169138181961
2022-Spring,2022,Spring,BRAND,그라미치,104,0.204539196790308
2022-Spring,2022,Spring,BRAND,그레일즈,24,0.04720135310545569
2022-Spring,2022,Spring,BRAND,그리쉬,42,0.08260236793454746
2022-Spring,2022,Spring,BRAND,꼼데가르송,171,0.33630964087637183
2022-Spring,2022,Spring,BRAND,나나미카,17,0.03343429178303112
2022-Spring,2022,Spring,BRAND,나이키,2964,5.829367108523777
2022-Spring,2022,Spring,BRAND,네이더스,224,0.44054596231758647
2022-Spring,2022,Spring,BRAND,노메뉴얼,53,0.10423632144121464
2022-Spring,2022,Spring,BRAND,노스페이스,299,0.5880501907721355
2022-Spring,2022,Spring,BRAND,뉴발란스,1799,3.538134759863116
2022-Spring,2022,Spring,BRAND,뉴에라,100,0.19667230460606536
2022-Spring,2022,Spring,BRAND,뉴치프시크,39,0.0767021987963655
2022-Spring,2022,Spring,BRAND,다이브인,20,0.03933446092121307
2022-Spring,2022,Spring,BRAND,닥터마틴,325,0.6391849899697125
2022-Spring,2022,Spring,BRAND,더뮤지엄비지터,262,0.5152814380678913
2022-Spring,2022,Spring,BRAND,더콜디스트모먼트,103,0.20257247374424733
2022-Spring,2022,Spring,BRAND,던스트,101,0.19863902765212602
2022-Spring,2022,Spring,BRAND,데우스엑스마키나,56,0.11013649057939662
2022-Spring,2022,Spring,BRAND,도프제이슨,670,1.317704440860638
2022-Spring,2022,Spring,BRAND,드레익스,21,0.04130118396727373
2022-Spring,2022,Spring,BRAND,드로우핏,451,0.8869920937733549
2022-Spring,2022,Spring,BRAND,디스이즈네버댓,164,0.3225425795539472
2022-Spring,2022,Spring,BRAND,디앤써,101,0.19863902765212602
2022-Spring,2022,Spring,BRAND,디젤,8,0.01573378436848523
2022-Spring,2022,Spring,BRAND,디키즈,89,0.1750383510993982
2022-Spring,2022,Spring,BRAND,라코스테,84,0.16520473586909493
2022-Spring,2022,Spring,BRAND,라퍼지스토어,390,0.767021987963655
2022-Spring,2022,Spring,BRAND,라프시몬스,53,0.10423632144121464
2022-Spring,2022,Spring,BRAND,랄프로렌,203,0.39924477835031275
2022-Spring,2022,Spring,BRAND,레드윙,91,0.17897179719151948
2022-Spring,2022,Spring,BRAND,로맨틱무브,630,1.2390355190182119
2022-Spring,2022,Spring,BRAND,루이비통,86,0.16913818196121622
2022-Spring,2022,Spring,BRAND,르메르,195,0.3835109939818275
2022-Spring,2022,Spring,BRAND,리넥츠,28,0.05506824528969831
2022-Spring,2022,Spring,BRAND,리바이스,347,0.6824528969830468
2022-Spring,2022,Spring,BRAND,리복,122,0.23994021161939977
2022-Spring,2022,Spring,BRAND,리얼 맥코이,4,0.007866892184242615
2022-Spring,2022,Spring,BRAND,릭오웬스,77,0.15143767454667034
2022-Spring,2022,Spring,BRAND,마틴로즈,570,1.1210321362545728
2022-Spring,2022,Spring,BRAND,마틴플랜,176,0.34614325610667507
2022-Spring,2022,Spring,BRAND,메종마르지엘라,528,1.0384297683200252
2022-Spring,2022,Spring,BRAND,메종미네드,423,0.8319238484836564
2022-Spring,2022,Spring,BRAND,메종키츠네,133,0.26157416512606696
2022-Spring,2022,Spring,BRAND,모드나인,1103,2.1692955198049013
2022-Spring,2022,Spring,BRAND,모스콧,78,0.153404397592731
2022-Spring,2022,Spring,BRAND,모이프,125,0.24584038075758172
2022-Spring,2022,Spring,BRAND,몽벨,1,0.0019667230460606536
2022-Spring,2022,Spring,BRAND,무신사,64,0.12587027494788183
2022-Spring,2022,Spring,BRAND,무인양품,13,0.0255673995987885
2022-Spring,2022,Spring,BRAND,무탠다드,1503,2.9559847382291626
2022-Spring,2022,Spring,BRAND,문선,119,0.2340400424812178
2022-Spring,2022,Spring,BRAND,미나브,246,0.48381386933092085
2022-Spring,2022,Spring,BRAND,미하라야스히로,118,0.23207331943515713
2022-Spring,2022,Spring,BRAND,밈더워드로브,188,0.3697439326594029
2022-Spring,2022,Spring,BRAND,바라쿠타,42,0.08260236793454746
2022-Spring,2022,Spring,BRAND,바버,98,0.19273885851394407
2022-Spring,2022,Spring,BRAND,반스,1485,2.920583723400071
2022-Spring,2022,Spring,BRAND,발렌시아가,188,0.3697439326594029
2022-Spring,2022,Spring,BRAND,버버리,64,0.12587027494788183
2022-Spring,2022,Spring,BRAND,버윅,17,0.03343429178303112
2022-Spring,2022,Spring,BRAND,버즈릭슨,5,0.009833615230303268
2022-Spring,2022,Spring,BRAND,버켄스탁,108,0.2124060889745506
2022-Spring,2022,Spring,BRAND,베이프,45,0.08850253707272941
2022-Spring,2022,Spring,BRAND,보테가베네타,179,0.352043425244857
2022-Spring,2022,Spring,BRAND,브라운야드,141,0.2773079494945522
2022-Spring,2022,Spring,BRAND,브랜디드,684,1.3452385635054873
2022-Spring,2022,Spring,BRAND,브론슨,20,0.03933446092121307
2022-Spring,2022,Spring,BRAND,브룩스브라더스,99,0.19470558156000473
2022-Spring,2022,Spring,BRAND,블랭크룸,103,0.20257247374424733
2022-Spring,2022,Spring,BRAND,비긴202,91,0.17897179719151948
2022-Spring,2022,Spring,BRAND,비바스튜디오,217,0.42677890099516186
2022-Spring,2022,Spring,BRAND,비얼디드키드,107,0.21043936592848997
2022-Spring,2022,Spring,BRAND,비이커,27,0.05310152224363765
2022-Spring,2022,Spring,BRAND,빔즈,17,0.03343429178303112
2022-Spring,2022,Spring,BRAND,사카이,113,0.22223970420485387
2022-Spring,2022,Spring,BRAND,생로랑,98,0.19273885851394407
2022-Spring,2022,Spring,BRAND,샤카웨어,301,0.5919836368642567
2022-Spring,2022,Spring,BRAND,세인트제임스,179,0.352043425244857
2022-Spring,2022,Spring,BRAND,세터,623,1.2252684576957873
2022-Spring,2022,Spring,BRAND,소니,115,0.22617315029697516
2022-Spring,2022,Spring,BRAND,솔리드옴므,97,0.1907721354678834
2022-Spring,2022,Spring,BRAND,수아레,191,0.3756441017975849
2022-Spring,2022,Spring,BRAND,슈펜,186,0.3658104865672816
2022-Spring,2022,Spring,BRAND,슈프림,452,0.8889588168194155
2022-Spring,2022,Spring,BRAND,스캇,162,0.3186091334618259
2022-Spring,2022,Spring,BRAND,스톤아일랜드,229,0.4503795775478897
2022-Spring,2022,Spring,BRAND,스투시,932,1.8329858789285294
2022-Spring,2022,Spring,BRAND,스튜디오니콜슨,102,0.2006057506981867
2022-Spring,2022,Spring,BRAND,아노블리어,83,0.16323801282303427
2022-Spring,2022,Spring,BRAND,아더에러,663,1.3039373795382134
2022-Spring,2022,Spring,BRAND,아디다스,851,1.6736813121976164
2022-Spring,2022,Spring,BRAND,아르켓,66,0.12980372104000315
2022-Spring,2022,Spring,BRAND,아미,152,0.29894190300121937
2022-Spring,2022,Spring,BRAND,아스토플렉스,9,0.017700507414545884
2022-Spring,2022,Spring,BRAND,아식스,1279,2.515438775911576
2022-Spring,2022,Spring,BRAND,아워레가시,406,0.7984895567006255
2022-Spring,2022,Spring,BRAND,아워셀브스,30,0.05900169138181961
2022-Spring,2022,Spring,BRAND,아워스코프,98,0.19273885851394407
2022-Spring,2022,Spring,BRAND,아이언레인저,43,0.08456909098060811
2022-Spring,2022,Spring,BRAND,아크테릭스,228,0.44841285450182905
2022-Spring,2022,Spring,BRAND,아트이프액츠,72,0.14160405931636708
2022-Spring,2022,Spring,BRAND,아페쎄,201,0.3953113322581914
2022-Spring,2022,Spring,BRAND,안데르센,34,0.06686858356606223
2022-Spring,2022,Spring,BRAND,알렌느,198,0.38941116312000945
2022-Spring,2022,Spring,BRAND,애쉬크로프트,70,0.13767061322424576
2022-Spring,2022,Spring,BRAND,애프터프레이,421,0.8279904023915352
2022-Spring,2022,Spring,BRAND,애플,550,1.0816976753333596
2022-Spring,2022,Spring,BRAND,앤더슨벨,838,1.6481139125988278
2022-Spring,2022,Spring,BRAND,어나더오피스,44,0.08653581402666877
2022-Spring,2022,Spring,BRAND,어널러코드,120,0.23600676552727845
2022-Spring,2022,Spring,BRAND,언더마이카,40,0.07866892184242615
2022-Spring,2022,Spring,BRAND,언타이틀,44,0.08653581402666877
2022-Spring,2022,Spring,BRAND,에센셜,141,0.2773079494945522
2022-Spring,2022,Spring,BRAND,에스티유오피스,214,0.42087873185697994
2022-Spring,2022,Spring,BRAND,에스피오나지,525,1.0325295991818433
2022-Spring,2022,Spring,BRAND,엑슬림,5,0.009833615230303268
2022-Spring,2022,Spring,BRAND,예일,161,0.3166424104157653
2022-Spring,2022,Spring,BRAND,오가프,74,0.14553750540848837
2022-Spring,2022,Spring,BRAND,오어슬로우,883,1.736616449671557
2022-Spring,2022,Spring,BRAND,오클리,9,0.017700507414545884
2022-Spring,2022,Spring,BRAND,와일드브릭스,86,0.16913818196121622
2022-Spring,2022,Spring,BRAND,요시다포터,51,0.10030287534909335
2022-Spring,2022,Spring,BRAND,우영미,126,0.24780710380364235
2022-Spring,2022,Spring,BRAND,우포스,196,0.38547771702788813
2022-Spring,2022,Spring,BRAND,웨이비니스,6,0.011800338276363922
2022-Spring,2022,Spring,BRAND,위더로드,123,0.24190693466546043
2022-Spring,2022,Spring,BRAND,위캔더스,28,0.05506824528969831
2022-Spring,2022,Spring,BRAND,유니온,395,0.7768556031939582
2022-Spring,2022,Spring,BRAND,유니클로,837,1.646147189552767
2022-Spring,2022,Spring,BRAND,유니폼브릿지,645,1.2685363647091217
2022-Spring,2022,Spring,BRAND,유스,187,0.36777720961334226
2022-Spring,2022,Spring,BRAND,이얼즈어고,56,0.11013649057939662
2022-Spring,2022,Spring,BRAND,이지,239,0.47004680800849624
2022-Spring,2022,Spring,BRAND,일꼬르소,90,0.17700507414545882
